*Product Category,*product Brand,*Product Unit,*Product Name,Purchases Price,Retail Price,Whole Price,Model,Sub Category ,Color ,dont_have_this_property,Engine No,Chesis No,dont_have_this_property,dont_have_this_property,dont_have_this_property
Motor Cycle,TVS,Pcs,4V RD 160,197400,,,4V RD 160,,BLUE/WHITE,,AE7HK2402913,PS637AE70K6N14467,,,
Motor Cycle,TVS,Pcs,4V RD 160,197400,,,4V RD 160,,BLUE/WHITE,,AE7HK2401347,PS637AE75K6N14917,,,
Motor Cycle,TVS,Pcs,4V RD 160,197400,,,4V RD 160,,RED,,AE7AK25N2452,PS637AE73L6A18096,,,
Motor Cycle,TVS,Pcs,4V RD 160,197400,,,4V RD 160,,BLACK,,AE7KK2502770,PS637AE71L6B18925,,,
Motor Cycle,TVS,Pcs,4V RD 160,197400,,,4V RD 160,,BLACK,,AE7KK2302969,PS637AE72L6B18920,,,
Motor Cycle,TVS,Pcs,4V SD 160,179400,,,4V SD 160,,BLUE/WHITE,,AE7FK2301283,PS637AE79K6H09566,,,
Motor Cycle,TVS,Pcs,4V SD 160,179400,,,4V SD 160,,BLACK,,AE7DK2102451,PS637AE77L6B18301,,,
Motor Cycle,TVS,Pcs,4V SD 160,179400,,,4V SD 160,,RED,,AE7AK24A5085,PS637AE74L6B18465,,,
Motor Cycle,TVS,Pcs,RTR RD 160,174900,,,RTR RD 160,,MATTE BLUE ,,0E4KK2800996,PS634KE41L6B16368,,,
Motor Cycle,TVS,Pcs,RTR RD 160,174900,,,RTR RD 160,,MATTE BLUE ,,0E4KK2301022,PS634KE49L6B16375,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,MATTE BLUE ,,0E4EK2303317,PS634KE47L6A14623,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE BLACK,,0E4KK2X01579,PS634KE40L6A14883,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE BLACK,,0E4KK2701494,PS634KE4XL6A14776,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE BLACK,,0E4KK2501550,PS634KE41L6A14813,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,MATTE RED,,0E4EJ2717706,PS634KE48K6H10292,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,GRAY,,0E4NK2X02568,PS634KE46L6B15840,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE RED,,0E4FJ2121765,PS634KE4XL6B15744,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE RED,,0E4FJ2921909,PS634KE46L6B15739,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE RED,,0E4FJ2321754,PS634KE49L6B15637,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,SHINE RED,,0E4FJ2021650,PS634KE47L6B15586,,,
Motor Cycle,TVS,Pcs,RTR SD 160,167900,,,RTR SD 160,,MATTE BLUE ,,0E4KK2900655,PS634KE40L6B16197,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4DK1900452,PS625BF40K6H08866,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4DK1X00469,PS625BF41K6H08844,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/BLUE,,FF4CK1201102,PS625BF47K6H10498,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1700848,PS625BF41K6K12262,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1600767,PS625BF47K6K12296,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/BLUE,,FF4FK1X00279,PS625BF42K6K11833,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1801007,PS625BF46K6D03191,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1601308,PS625BF48K6D03256,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1301374,PS625BF41K6D03213,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1701348,PS625BF44K6D03240,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4FK1401712,PS625BF45K6K11888,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1X01396,PS625BF4XK6D03131,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1201176,PS625BF41K6D03180,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/GREEN,,FF4HK1300376,PS625BF42K6N14109,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/RED,,FF4EK1701201,PS625BF47K6E03347,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/GREY,,FF4LK1201912,PS625BF48L6B18318,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/GREY,,FF4LK1101786,PS625BF42L6B18248,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/GREY,,FF4LK1601943,PS625BF43L6B18470,,,
Motor Cycle,TVS,Pcs,STRYKER 125,118400,,,STRYKER 125,,BLACK/GREY,,FF4LK1301605,PS625BF43L6B18064,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110 DISC,111900,,,METRO PLUS 110 DISC,,BLACK/RED,,CF1KK1501527,PS625CF12L6A16492,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110 DISC,111900,,,METRO PLUS 110 DISC,,BLACK/RED,,CF1KK1101707,PS625CF17L6A16469,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110 DISC,111900,,,METRO PLUS 110 DISC,,BLACK/RED,,CF1KK1701422,PS625CF11L6A16662,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110 DISC,111900,,,METRO PLUS 110 DISC,,BLACK/RED,,CF1KK1302596,PS625CF1XL6B16985,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,RED/BLACK,,CF1FK1301471,PS625CF16K6H06406,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/BLUE,,CF1EK1400840,PS625CF10K6K10451,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,RED/BLACK,,CF1FK1200788,PS625CF16K6K09952,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,RED/BLACK,,CF1KJ1413821,MD625CF12J1K76275,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/BLUE,,CF1LK1402761,PS625CF18L6B17732,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/BLUE,,CF1LK1102687,PS625CF14L6B17789,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1403551,PS625CF17L6B17365,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1001650,PS625CF12L6B17970,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1601591,PS625CF18L6B17925,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1601843,PS625CF11L6B18074,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/BLUE,,CF1LK1902869,PS625CF1XL6B17697,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/BLUE,,CF1LK1602799,PS625CF1XL6B17652,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1102977,PS625CF12L6B18374,,,
Motor Cycle,TVS,Pcs,METRO PLUS 110,104900,,,METRO PLUS 110,,BLACK/RED,,CF1LK1103002,PS625CF17L6B18368,,,
Motor Cycle,TVS,Pcs,METRO ELS 100,89900,,,METRO ELS 100,,BLACK/RED,,DF5GK1402865,PS625MF55K6P11196,,,
Motor Cycle,TVS,Pcs,METRO ELS 100,89900,,,METRO ELS 100,,BLACK/BLUE,,DF5HK1500700,PS625MF58L6B13494,,,
Motor Cycle,TVS,Pcs,METRO ELS 100,89900,,,METRO ELS 100,,BLACK/BLUE,,DF5HK1900573,PS625MF51L6B13563,,,
Motor Cycle,TVS,Pcs,METRO ELS 100,89900,,,METRO ELS 100,,BLACK/RED,,DF5GK1500714,PS625MF53L6A12797,,,
Motor Cycle,TVS,Pcs,METRO ELS 100,89900,,,METRO ELS 100,,BLACK/RED,,DF5HK1000042,PS625MF59L6B13164,,,
Motor Cycle,TVS,Pcs,XL100 KS,56900,,,XL100 KS,,GRAY,,0P1DJ1503799,MD621CP13J1D04453,,,
Motor Cycle,TVS,Pcs,XL100 KS,56900,,,XL100 KS,,GRAY,,0P1DJ1103410,MD621CP1XJ1D04188,,,
Motor Cycle,TVS,Pcs,XL100 ES,66900,,,XL100 ES,,RED,,CP1DK1X23838,MD621EP18K1D00654,,,
Motor Cycle,TVS,Pcs,XL100 ES,66900,,,XL100 ES,,RED,,CP1DK1823891,MD621EP19K1D00808,,,
Motor Cycle,TVS,Pcs,XL100 ES,66900,,,XL100 ES,,PURPLE,,CP1EK1203750,MD621EP18K1E00267,,,
Motor Cycle,TVS,Pcs,XL100 ES,66900,,,XL100 ES,,PURPLE,,CP1DK1923757,MD621EP12K1D00861,,,
